url,IPv4 Address,Latitude,Longitude,ID
speedtest2.ttksever.ru , 83.69.7.10,61.6667,50.8167,3173
speedtest1.ksinet.ru , 62.76.156.155,61.6667,50.8167,10552
nopeustesti.elmo.fi , 109.204.204.18,61.5,23.7667,5055
speed.web1.fi , 185.18.76.91,61.5,23.7667,29251
speedtest.enivest.net , 217.149.113.142,61.4431,5.9036,899
speedtest.sg.metro-set.ru , 37.60.16.251,61.2667,73.4,2313
sur1.bigspeedtest.netbynet.ru , 176.192.226.202,61.2667,73.4,10764
speedtest.tele-plus.ru , 217.114.191.50,61.2667,73.4,24944
surgut10.speedtest.rt.ru , 31.163.206.30,61.2667,73.4,28984
speedtest.int29.ru , 62.89.196.255,61.25,46.65,7964
speedtest.ardalsnett.no , 178.23.101.252,61.2396,7.7121,15331
speedtest.sognenett.no , 79.170.80.211,61.2298,7.1005,16182
speedtest.anc.acsalaska.net , 209.112.131.106,61.2183,-149.8991,980
akan.ost.myvzw.com , 198.224.161.148,61.2183,-149.8991,16136
speedtest.gci.net , 209.165.164.237,61.2183,-149.8991,21386
speedtest.cvinternet.net , 209.161.168.8,61.1308,-146.3483,1409
speedtest.eidsiva.net , 77.106.189.241,61.1153,10.4662,15513
speedtest.e-yugansk.ru , 193.151.192.26,61.0833,72.7,9971
nefteyugansk.speedtest.rt.ru , 31.163.206.29,61.0833,72.7,29909
speedtest.ugansk.net , 193.254.249.34,61.0833,72.7,28188
spt1.megion.biz , 192.166.117.135,61.05,76.1,7312
khm10.speedtest.rt.ru , 31.163.206.22,61.0091,69.0375,28983
ookla.danpro.ru , 46.39.0.138,60.9333,76.5333,25317
speedtest.pride-net.ru , 80.251.50.38,60.9333,76.5333,20290
nizhnevartovsk.speedtest.rt.ru , 31.163.206.28,60.9333,76.5333,29908
speedtest1.laitilanpuhelin.fi , 188.123.0.202,60.8792,21.6931,3447
speed.vsp.fi , 83.146.213.78,60.8076,21.4027,30885
wh-netspeed.nwtel.ca , 199.85.225.55,60.7167,-135.05,4400
sp1.haminetti.net , 5.61.88.42,60.5667,27.2,7871
speedtest.ctcak.net , 199.189.128.26,60.5424,-145.7525,10601
speedtest-tku.dtnet.fi , 185.218.192.12,60.4518,22.2666,29248
nopeustesti.lounea.fi , 86.60.245.107,60.39,23.1172,13247
speedtest.dataoppdrag.no , 95.141.80.114,60.3894,5.33,2301
ookla-bgo.net.avur.no , 62.24.33.217,60.3894,5.33,18987
myolekminsk.ru , 176.114.16.165,60.3702,120.4302,23636
speedtest2.saunalahti.fi , 62.142.117.41,60.1708,24.9375,22669
speedtest-hki2.hosting.fi , 188.117.46.181,60.1708,24.9375,864
speedtest.sky.host.co.ug , 95.216.93.213,60.1708,24.9375,25362
ookla.cumulustech.co.uk , 95.216.34.69,60.1708,24.9375,27504
speedtest-hki.netplaza.fi , 185.67.81.183,60.1708,24.9375,27828
he1.msk.host , 95.217.39.121,60.1708,24.9375,30563
speedtest.extra.telia.fi , 62.71.156.60,60.1699,24.9384,14928
nopeus.dna.fi , 212.149.165.36,60.1698,24.9383,14164
speedtest.xtrim.ru , 91.201.231.150,60.1444,30.1938,15510
osl.speedtest.as2116.net , 193.75.5.6,59.9494,10.7564,11787
speedtest.nextgentel.no , 217.13.4.132,59.9494,10.7564,8018
ookla-osl.net.avur.no , 62.24.51.25,59.9494,10.7564,18967
osl-speedtest.dataoppdrag.no , 185.134.125.66,59.9494,10.7564,18316
speedtest.ign.as , 185.17.93.5,59.9494,10.7564,4179
osl-ulv-speedtest1.altibox.net , 81.166.122.131,59.9494,10.7564,13544
test.telenor.net , 148.122.6.169,59.9494,10.7564,12919
sp.runnet.ru , 85.142.28.28,59.9343,30.3351,14633
speedtest.viltel.net , 95.161.142.71,59.9343,30.3351,28732
sankt-peterburg2.speedtest.rt.ru , 213.158.10.26,59.9333,30.3333,2599
speedtest.spb.ertelecom.ru , 109.195.80.230,59.9333,30.3333,2690
speedtest.ptspb.net , 212.116.101.35,59.9333,30.3333,4231
speedtest-it.spb.mts.ru , 217.66.147.194,59.9333,30.3333,4247
speedtest.selectel.ru , 188.93.16.211,59.9333,30.3333,16125
speedtest-szf.megafon.ru , 83.149.1.204,59.9333,30.3333,6385
eperf.comfortel.pro , 85.143.162.135,59.9333,30.3333,5237
speedtest.obit.ru , 85.114.2.246,59.9333,30.3333,14771
sp2net1.airnet.ru , 93.92.200.253,59.9333,30.3333,10299
speedtest.utelcom.ru , 193.107.3.157,59.9333,30.3333,23440
speedtest.severen.ru , 93.174.241.242,59.9333,30.3333,24338
speedtest-ookla1.weba.ru , 37.153.1.124,59.9333,30.3333,21491
speedtest.smartspb.net , 80.79.245.226,59.9333,30.3333,6735
speedtest-spb.retn.net , 87.245.250.43,59.9333,30.3333,18570
speedtest.miran.ru , 91.142.81.186,59.9333,30.3333,10309
speedtest.pakt.ru , 185.97.202.5,59.9333,30.3333,21014
speedtest.spb.wi-fi.ru , 81.200.123.29,59.9333,30.3333,12549
speedtest.unisnet.ru , 94.230.160.188,59.9333,30.3333,20780
speedtest.spb.citytelecom.ru , 31.28.20.50,59.9333,30.3333,17310
speedtest.westcall.spb.ru , 84.52.113.173,59.9333,30.3333,24476
speedtest.gblnet.ru , 109.239.131.202,59.9333,30.3333,15715
stpetersburg1.speedtest.rascom.ru , 185.5.162.138,59.9333,30.3333,5718
speed.bci-tele.com , 37.9.129.109,59.9333,30.3333,4810
vaz-2106.ru , 77.222.55.202,59.9333,30.3333,12776
spb1.companion.tele2.ru , 217.169.82.110,59.9333,30.3333,6051
spb-speedtest-srv02.ti.ru , 212.1.245.154,59.9333,30.3333,11076
speedtest.forestnet.pro , 185.245.187.153,59.9333,30.3333,9644
speedtest.pinspb.ru , 5.8.53.153,59.9333,30.3333,15929
speedtest.spb.gldn.net , 81.211.125.34,59.9333,30.3333,4139
test.gtk.su , 91.151.201.6,59.9333,30.3333,29879
speed.net47.ru , 185.108.19.12,59.9333,30.3333,19058
speedtest.yonl.ru , 176.53.193.59,59.9333,30.3333,24045
speedtest.smartlife.spb.ru , 185.213.212.2,59.9333,30.3333,30664
st.tecom.ru , 45.152.220.211,59.9333,30.3333,30841
speedtest.wetel.ru , 171.25.232.251,59.9333,30.3333,30881
vo47.ru , 193.106.108.74,59.9167,32.35,2086
speedtest.webmax.su , 192.162.11.15,59.8833,30.9865,2193
speedtest.link-spb.ru , 193.169.62.10,59.8833,30.9865,3866
www.lentel.ru , 176.99.64.20,59.7667,30.7833,4752
speedtest.vn-tel.ru , 91.233.47.147,59.749,29.631,24534
speed1.pushkinnet.com , 31.207.64.94,59.7333,30.3833,7770
speedtest.tinconet.ru , 185.61.252.61,59.7333,30.3833,2376
sp1.spitwspots.com , 104.254.228.117,59.6431,-151.5258,7683
speedtest.gtn.ru , 79.173.82.34,59.5667,30.1333,7358
speedtest.gatchina.ru , 193.111.255.222,59.5667,30.1333,2113
magadan.speedtest.rt.ru , 212.14.192.99,59.5667,150.8,3125
speedtest1.teknikbyran.com , 78.108.48.56,59.4833,18.3,4425
speed.kirishi.ru , 79.173.127.209,59.45,32,2071
speed.fiber.ee , 188.92.160.3,59.4339,24.7549,3207
kiirustest.telia.ee , 194.126.108.76,59.4339,24.7549,8168
speedtest.elisa.ee , 62.65.245.124,59.4339,24.7549,2610
sidur.tele2.ee , 213.101.219.70,59.4339,24.7549,3606
speedtest1.telset.ee , 81.25.255.71,59.4339,24.7549,5654
bwtest.linxtelecom.com , 212.47.219.73,59.4339,24.7549,28037
speedtest.stv.ee , 85.196.241.249,59.4339,24.7549,29062
speedtest.keff.org , 45.154.255.51,59.4024,17.9465,21028
hgd-speedtest-1.tele2.net , 90.130.74.149,59.4014,17.9444,6061
speedtest.ts35.net , 217.150.50.165,59.393,35.9303,22865
speedtest.fairyhosting.com , 185.155.96.59,59.3797,28.1791,12456
sp1.king-online.ru , 91.211.45.130,59.3667,28.6167,4494
ookla-stockholm.a3.se , 85.8.9.162,59.3294,18.0686,20783
speedtest.tre.se , 80.251.201.188,59.3294,18.0686,4533
sto.speedtest.gtt.net , 213.251.52.202,59.3294,18.0686,24388
se.altushost.com , 128.127.104.4,59.3294,18.0686,5235
fd.sunet.se , 188.240.144.2,59.3294,18.0686,26852
speedtest.no-ack.net , 185.9.167.35,59.3294,18.0686,28373
speedtest.nordu.net , 109.105.98.178,59.3293,18.0685,14200
vologda.speedtest.rt.ru , 95.53.248.118,59.2167,39.9,2596
speedtest1.vologda.comstar-r.ru , 213.176.240.74,59.2167,39.9,1916
osl.host.speedtest.net , 185.181.61.3,59.1383,10.1723,20209
speedtest.tommot.net , 188.43.15.1,58.9637,126.2725,29010
spnet1.xfiber.com , 212.33.132.22,58.9633,5.7189,7470
stv-gm-speedtest1.altibox.net , 81.166.122.129,58.9633,5.7189,13094
speedtest.xait.no , 185.15.153.207,58.8533,5.7329,20758
speed.luglink.net , 192.166.12.11,58.7333,29.85,23581
st2.sv-tel.ru , 89.207.64.183,58.7302,36.7966,14189
sp1.kch.interra.ru , 94.190.68.3,58.6979,59.4929,11085
speedtest.kirov.ertelecom.ru , 109.194.192.230,58.6,49.65,2702
kirov.speedtest.rt.ru , 178.45.249.3,58.6,49.65,3508
speedtest1.kirov.beeline.ru , 194.186.181.69,58.6,49.65,6573
kostroma.speedtest.rt.ru , 85.113.220.171,58.55,43.683,3261
st1.sv-en.ru , 134.19.151.185,58.55,43.683,22883
velikynovgorod.speedtest.rt.ru , 78.37.78.38,58.5333,31.2667,3540
speedtest.aptalaska.net , 64.186.96.6,58.3833,-134.1833,10367
speedtest.thesnowcloud.com , 23.135.128.190,58.3833,-134.1833,4841
speedtest.elevi.ee , 185.157.108.42,58.3833,26.7167,23382
tobolsk.speedtest.rt.ru , 90.151.250.22,58.1953,68.2581,28186
tobolsk.speedtest-uf.megafon.ru , 31.173.96.182,58.1953,68.2581,17035
speed.garant.tv , 93.171.182.5,58.1333,52.6667,17813
speedtest.glazov.net , 91.210.192.6,58.1333,52.6667,8635
speedtest2.newit-lan.ru , 95.215.208.7,58.1333,52.6667,25077
speedtest.kvartal.tv , 91.218.100.4,58.1003,57.8042,5473
lysva.speedtest.rt.ru , 5.141.229.2,58.1003,57.8042,29998
speed.apelsin-it.com , 176.118.196.15,58.0726,60.7336,22804
speedtest.atel.me , 188.68.16.16,58.0575,38.8117,26604
speedtest.perm.ertelecom.ru , 212.33.230.200,58,56.3167,2660
perm10.speedtest.rt.ru , 5.141.229.6,58,56.3167,29550
speedtest.59telecom.ru , 89.185.75.234,58,56.3167,27359
st.ztk-perm.ru , 94.138.148.135,58,56.3167,30656
s2.iptt.ru , 185.67.253.3,58,56.3167,29028
speedtestnode1.u-c-s.ru , 91.235.175.21,58,56.3167,29031
speedtest.ilimnet.ru , 193.33.232.21,58,102.6667,11050
speed.ksilim.ru , 46.254.246.8,58,102.6667,3333
nytvahosting.ru , 91.232.39.10,57.9332,55.3467,16055
speedtest.setitagila.ru , 46.165.1.95,57.9215,59.9816,15096
nizhniy-tagil.speedtest-uf.megafon.ru , 31.173.96.185,57.9215,59.9816,17038
bologoe1.speedtest.rascom.ru , 185.5.162.185,57.8833,34.05,5702
pskov.speedtest.rt.ru , 78.37.104.38,57.8167,28.3333,3526
psk-speedtest-srv02.ti.ru , 212.1.245.150,57.8167,28.3333,11075
pskovline.ru , 91.204.136.6,57.8167,28.3333,27770
bck-speedtest-1.tele2.net , 90.130.74.151,57.7,11.9667,6062
yaroslavl.speedtest.rt.ru , 95.86.204.67,57.6167,39.85,2620
st.atel76.ru , 46.47.0.107,57.6167,39.85,10230
speedtest.yar.ertelecom.ru , 109.195.112.230,57.6167,39.85,2666
speedtest1.ttksever.ru , 80.92.0.14,57.6167,39.85,3088
speedtest.yarnet.ru , 212.232.62.60,57.6167,39.85,18234
st1.yar-tt.ru , 37.60.176.9,57.6167,39.85,2772
zavolga.net , 91.203.124.4,57.6167,39.85,4692
speedtest.nygreenit.net , 77.68.238.229,57.5833,9.95,5294
test1.ilink.lv , 195.8.115.32,57.3833,21.55,4173
speedtest.rezh96.ru , 141.105.25.118,57.3666,61.4222,23675
speedtest1.converged.co.uk , 89.104.237.109,57.1526,-2.11,9171
speedtest.tmn.ertelecom.ru , 109.194.160.230,57.15,65.5333,2697
speedtest.tm.metro-set.ru , 37.60.16.158,57.15,65.5333,10870
speedtest.proxicom.ru , 95.129.179.69,57.15,65.5333,23300
sp.pozitivtelecom.ru , 95.47.243.150,57.15,65.5333,9322
tumen10.speedtest.rt.ru , 90.151.250.21,57.15,65.5333,27104
st.teleseti.net , 91.214.220.42,57.15,65.5333,6891
tyumen-speedtest.corbina.net , 194.85.158.115,57.15,65.5333,24946
speedtest.oborona.net , 91.206.16.9,57.15,65.5333,988
st.vmeste72.ru , 2.59.240.18,57.15,65.5333,30909
sp1.mediateknik.net , 94.103.192.21,57.1167,12.2167,6648
speedtest.telenor.dk , 212.242.34.98,57.0488,9.9217,11530
st.asb.su , 80.251.144.38,57,61.4667,28891
ivanovo.speedtest.rt.ru , 81.20.103.171,56.9967,40.9819,3481
speedtest1.ivanovo.comstar-r.ru , 80.70.96.144,56.9967,40.9819,5038
test.ivn.ttksever.ru , 109.60.128.138,56.9967,40.9819,16483
st.345000.ru , 91.219.75.115,56.9967,40.9819,9945
mini1.speedtest.lv , 195.122.12.34,56.9496,24.104,1268
ping.lv , 82.193.66.66,56.9496,24.104,1348
speedtest.lmt.lv , 212.93.97.182,56.9496,24.104,2148
sp1-lv.deac.eu , 89.111.38.126,56.9496,24.104,8455
speedtest.garmtech.net , 91.228.7.78,56.9496,24.104,19456
st.mits.lv , 136.169.0.150,56.9496,24.104,24231
speedtest.telenet.lv , 91.90.253.48,56.9496,24.104,7322
speedtest.livas.lv , 84.245.224.70,56.9496,24.104,24424
speedtest.nano.lv , 193.46.236.5,56.9496,24.104,29421
speedtest.dolphnet.lv , 45.13.98.8,56.9496,24.104,27226
speedtest.netvision.lv , 85.31.101.183,56.9496,24.104,28674
speedtest-rix.retn.net , 139.45.205.9,56.9496,24.104,28935
speedtestriga.m4host.net , 185.209.0.118,56.9496,24.104,29815
speedtest1.srnet.lv , 94.101.230.7,56.9496,24.104,2151
speedtest.bite.lv , 84.15.16.106,56.9496,24.104,5834
speedtest1.baltcom.lv , 217.198.234.14,56.9496,24.1052,13246
speedtest.kvant-ber.ru , 185.183.196.19,56.9089,60.795,16765
sp1.interra.ru , 94.190.64.37,56.8999,59.9521,11124
tver-speedtest-srv02.ti.ru , 212.1.245.162,56.8667,35.9167,11077
speedtest.tver.ertelecom.ru , 109.194.64.252,56.8667,35.9167,2732
speedtest1.tver.comstar-r.ru , 93.187.180.72,56.8667,35.9167,1909
tver.speedtest.rt.ru , 84.42.11.147,56.8667,35.9167,3265
speedtest.tvhost.ru , 178.159.48.150,56.8667,35.9167,11947
speedtest.gorcom.ru , 62.122.176.109,56.8667,35.9167,29577
speed.fastlnk.ru , 93.91.112.9,56.8667,35.9167,1111
srv1.profistream.com , 212.220.116.253,56.8389,60.6057,23694
rapido.izhnt.ru , 88.80.32.117,56.8333,53.1833,17014
speedtest.izhevsk.ertelecom.ru , 91.144.164.84,56.8333,53.1833,2704
izhevsk.speedtest.rt.ru , 178.45.249.75,56.8333,53.1833,3516
speedtest.izhevsk.net , 217.14.203.145,56.8333,53.1833,1136
ookla.ekat.ertelecom.ru , 109.195.96.230,56.8333,60.5833,5844
tarvalon.ural.net , 195.64.192.47,56.8333,60.5833,1930
speedtest.telenet.ru , 92.54.91.76,56.8333,60.5833,4745
speedtest.motivtelecom.ru , 212.113.230.154,56.8333,60.5833,5681
ekat1.speedtest.corbina.net , 195.58.1.117,56.8333,60.5833,6400
speedtest.ural.mts.ru , 212.188.16.70,56.8333,60.5833,16727
ekt1.companion.tele2.ru , 176.59.223.150,56.8333,60.5833,6616
speedtest.uralttk.ru , 80.78.97.28,56.8333,60.5833,25330
zabbix.greenline.bz , 193.151.222.30,56.8333,60.5833,28672
speedtest.m4host.net , 92.63.87.4,56.8167,24.6,22608
speedtest.60500.ru , 185.184.235.250,56.791,105.7769,23146
speedtest.kat-telecom.ru , 83.217.12.202,56.7411,60.9705,25251
st1.dubna.ru , 62.84.98.19,56.7333,37.1667,2786
speedtest.yola.ertelecom.ru , 109.194.96.230,56.6333,47.8667,2662
yoshkar-ola.speedtest.rt.ru , 178.45.249.11,56.6333,47.8667,5583
speedtest.e-vels.lv , 62.63.162.194,56.546,27.7143,29684
speed.ostkom.lv , 89.254.142.62,56.5117,21.0139,2450
net.elektrons-k.lv , 92.49.0.56,56.5117,21.0139,2739
speedy.wekudata.com , 37.208.0.10,56.5058,13.0456,12741
tomsk.speedtest.rt.ru , 217.18.135.251,56.5,84.97,5740
speedtest.tomsk.ertelecom.ru , 109.194.32.230,56.5,84.97,2943
st-world.tomica.ru , 78.140.22.250,56.5,84.97,22123
speedtest.galsnet.ru , 80.237.95.44,56.3947,38.712,23490
test.alexnet.ru , 5.59.55.200,56.3947,38.712,11035
speedtest.trytek.ru , 195.2.238.19,56.3916,38.7138,19118
speedtest.kovrov.net , 195.230.109.152,56.3667,41.3333,2117
speedtest1.itnet33.ru , 109.201.100.22,56.3667,41.3333,2642
speedtest.mart.ru , 89.28.160.59,56.3396,30.5315,19965
nizhnynovgorod1.speedtest.rt.ru , 178.45.249.20,56.3264,44.0078,2563
speedtest.nn.ertelecom.ru , 91.144.184.231,56.3264,44.0078,2698
speedtest-cf.megafon.ru , 83.149.42.190,56.3264,44.0078,6387
speedtest.nnov.mts.ru , 213.87.70.45,56.3264,44.0078,4503
sp.lt-nn.net , 91.219.56.112,56.3264,44.0078,22055
speedtest.nino.ru , 94.100.81.222,56.3264,44.0078,17429
speedtest1.nnovgorod.beeline.ru , 217.118.93.30,56.3264,44.0078,7008
nnov1.companion.tele2.ru , 176.59.127.158,56.3264,44.0078,6563
sp1.kli.lt , 46.36.66.58,56.3092,22.3415,12638
speedtest.mb-nn.ru , 93.120.235.126,56.2965,43.9361,24936
speedtest.oktv.se , 176.105.144.130,56.2777,14.5309,24719
speedtest.ots-net.ru , 31.129.192.115,56.2556,37.9891,14213
st.mysint.ru , 188.65.51.168,56.2361,90.4903,24769
speedtest.istokk.ru , 91.218.128.50,56.2017,95.7175,2851
st.rtk33.ru , 31.133.200.83,56.1553,40.5927,14431
st1.sv-tel.ru , 89.207.64.182,56.15,44.1833,4154
vladimir.speedtest.rt.ru , 84.53.192.179,56.1333,40.4167,3523
109.201.64.254 , 109.201.64.254,56.1333,40.4167,7068
speedtest.cheb.ertelecom.ru , 109.195.240.230,56.1333,47.25,2731
speed.etherway.ru , 91.197.172.9,56.1333,47.25,1215
chb-speedtest-srv02.ti.ru , 212.1.244.211,56.1333,47.25,10635
ns1.akvi.net , 91.216.72.246,56.1333,47.25,6623
speedtest.orionet.ru , 94.232.60.73,56.1333,47.25,30800
speedtest.shadrinsk.net , 195.184.78.54,56.1333,63.65,995
speedtest.brk.orionnet.ru , 185.84.172.233,56.1167,101.6,15914
speed.btk.teleos.ru , 91.226.120.122,56.1167,101.6,8574
speed.nsplus.ru , 91.189.162.40,56.1167,101.6,12513
cheboksary.speedtest.rt.ru , 178.45.249.91,56.1103,47.2511,4481
speedtest.mediakvant.ru , 176.112.96.11,56.1037,43.5174,28424
linespeed3.nms.tele.dk , 87.51.35.76,56.09,10.1337,8763
speedtest.vega-int.ru , 46.45.32.6,56.0833,60.7333,4431
speedtest.net-nord.ru , 91.223.32.189,56.0772,37.0614,29805
speedtest.uminet.ru , 195.93.151.149,56.0772,37.0614,29914
speedtest01.waoo.dk , 88.83.69.50,56.0417,9.925,4435
speedtest.bik.network , 85.197.128.14,56.0294,14.1567,30962
80.76.104.98 , 80.76.104.98,56.02,35.5809,4605
speedtest.tisp.ru , 94.25.107.7,56.0096,38.3853,11100
krasnoyarsk.speedtest.rt.ru , 92.126.121.187,56.0026,92.8853,3545
speedtest.krsk.ertelecom.ru , 109.195.64.230,56.0026,92.8853,2701
krasnoyarsk-speedtest.corbina.net , 62.105.140.183,56.0026,92.8853,24945
speedtest.rastrnet.ru , 188.0.0.246,56.0026,92.8853,27990
speedtest.krk.ru , 109.226.205.137,56.0026,92.8853,4729
speedtest.g-service.ru , 84.22.140.100,56.0026,92.8853,26166
speedtest.krskcit.ru , 185.211.0.95,56.0026,92.8853,26649
speed.cemka.org , 94.73.226.8,56.0026,92.8853,4270
sp1.beirel.ru , 89.222.165.43,56,37.8333,6441
speedtest-zel.dapl.ru , 93.188.40.130,55.9978,37.1903,21456
topnet.lt , 46.251.60.2,55.9833,22.9167,24805
speedtest.krasumax.ru , 178.23.147.70,55.9742,94.7096,23222
speed.teleoka.su , 176.97.47.2,55.9621,43.0912,30375
sgyl-speedtest-1.server.virginmedia.net , 81.97.49.217,55.9521,-3.2015,3730
speedtest.fryazino.net , 62.140.253.22,55.95,38.05,5464
dolgoprudny.speedtest.rt.ru , 89.109.237.155,55.9406,37.5183,3515
speedtest.bacloud.com , 185.25.50.40,55.9281,23.315,10420
speedtest.istranet.ru , 176.62.191.30,55.9231,36.8661,21725
speedtest.intek-m.ru , 31.135.95.35,55.9198,37.7655,29249
speed.city-link.info , 194.50.128.2,55.9167,37.8167,2228
speedtest.vermont-it.ru , 77.91.199.58,55.9167,37.8167,4548
speedtest1.opcom.ru , 62.122.199.254,55.9131,37.7544,3612
speedtest.east.ru , 195.170.63.178,55.9131,37.7544,4952
